time,id,RSSI,tag_id,phase,17:11:41.08,activity,
17:12:34.13,e2001d8712461320db93,-52,3,"168
",00:00:53.05,2,
17:12:34.13,e2001d8712461320db93,-52,3,"168
",00:00:53.05,2,
17:12:34.16,e2001d8712461320db93,-51,3,"174
",00:00:53.08,2,
17:12:34.16,e2001d8712461320db93,-51,3,"174
",00:00:53.08,2,
17:12:34.18,e2001d8712461320db93,-51,3,"174
",00:00:53.10,2,
17:12:34.20,e2001d8712461320db93,-51,3,"174
",00:00:53.12,2,
17:12:34.23,e2001d8712461320db93,-51,3,"171
",00:00:53.15,2,
17:12:34.23,e2001d8712461320db93,-51,3,"171
",00:00:53.15,2,
17:12:34.27,e2001d8712461320db93,-52,3,"174
",00:00:53.19,2,
17:12:34.27,e2001d8712461320db93,-52,3,"174
",00:00:53.19,2,
17:12:34.30,e2001d8712461320db93,-51,3,"171
",00:00:53.22,2,
17:12:34.30,e2001d8712461320db93,-51,3,"171
",00:00:53.22,2,
17:12:34.33,e2001d8712461320db93,-51,3,"174
",00:00:53.25,2,
17:12:34.33,e2001d8712461320db93,-51,3,"174
",00:00:53.25,2,
17:12:34.37,e2001d8712461320db93,-51,3,"174
",00:00:53.29,2,
17:12:34.37,e2001d8712461320db93,-51,3,"174
",00:00:53.29,2,
17:12:34.40,e2001d8712461320db93,-51,3,"168
",00:00:53.32,2,
17:12:34.40,e2001d8712461320db93,-51,3,"168
",00:00:53.32,2,
17:12:34.43,e2001d8712461320db93,-51,3,"174
",00:00:53.35,2,
17:12:34.43,e2001d8712461320db93,-51,3,"174
",00:00:53.35,2,
17:12:34.47,e2001d8712461320db93,-51,3,"171
",00:00:53.39,2,
17:12:34.47,e2001d8712461320db93,-51,3,"171
",00:00:53.39,2,
17:12:34.49,e2001d8712461320db93,-51,3,"171
",00:00:53.41,2,
17:12:34.50,e2001d8712461320db93,-52,3,"174
",00:00:53.42,2,
17:12:34.50,e2001d8712461320db93,-52,3,"174
",00:00:53.42,2,
17:12:34.53,e2001d8712461320db93,-51,3,"174
",00:00:53.45,2,
