time,id,tag_id,RSSI,phase,17:22.6,activity
24:12.5,e2001d8712401320d4a0,2,-58,"171
",06:49.8,5
24:12.5,e2001d8712401320d4a0,2,-57,"168
",06:49.9,5
24:12.6,e2001d8712401320d4a0,2,-57,"171
",06:50.0,5
24:12.6,e2001d8712401320d4a0,2,-58,"171
",06:50.0,5
24:12.6,e2001d8712401320d4a0,2,-58,"177
",06:50.0,5
24:12.7,e2001d8712401320d4a0,2,-57,"171
",06:50.1,5
24:12.8,e2001d8712401320d4a0,2,-57,"171
",06:50.1,5
24:12.8,e2001d8712401320d4a0,2,-57,"171
",06:50.2,5
24:12.8,e2001d8712401320d4a0,2,-58,"171
",06:50.2,5
24:12.9,e2001d8712401320d4a0,2,-58,"171
",06:50.2,5
24:50.2,e2001d8712401320d4a0,2,-58,"171
",07:27.5,6
24:50.2,e2001d8712401320d4a0,2,-56,"168
",07:27.6,6
24:50.3,e2001d8712401320d4a0,2,-56,"174
",07:27.6,6
24:50.3,e2001d8712401320d4a0,2,-56,"171
",07:27.7,6
24:50.3,e2001d8712401320d4a0,2,-56,"168
",07:27.7,6
24:50.4,e2001d8712401320d4a0,2,-57,"171
",07:27.7,6
24:50.4,e2001d8712401320d4a0,2,-57,"168
",07:27.8,6
24:50.4,e2001d8712401320d4a0,2,-57,"171
",07:27.8,6
24:50.5,e2001d8712401320d4a0,2,-57,"171
",07:27.8,6
24:50.5,e2001d8712401320d4a0,2,-57,"171
",07:27.9,6
24:50.5,e2001d8712401320d4a0,2,-57,"171
",07:27.9,6
24:50.8,e2001d8712401320d4a0,2,-58,"174
",07:28.1,6
24:50.8,e2001d8712401320d4a0,2,-58,"174
",07:28.2,6
24:50.9,e2001d8712401320d4a0,2,-57,"174
",07:28.2,6
24:50.9,e2001d8712401320d4a0,2,-57,"0
",07:28.3,6
24:50.9,e2001d8712401320d4a0,2,-58,"2
",07:28.3,6
24:51.0,e2001d8712401320d4a0,2,-57,"174
",07:28.4,6
24:51.7,e2001d8712401320d4a0,2,-58,"168
",07:29.1,6
24:51.7,e2001d8712401320d4a0,2,-58,"171
",07:29.1,6
24:51.8,e2001d8712401320d4a0,2,-58,"177
",07:29.2,6
24:51.8,e2001d8712401320d4a0,2,-57,"171
",07:29.2,6
24:51.9,e2001d8712401320d4a0,2,-57,"174
",07:29.2,6
24:51.9,e2001d8712401320d4a0,2,-57,"177
",07:29.3,6
24:52.0,e2001d8712401320d4a0,2,-57,"171
",07:29.3,6
24:55.7,e2001d8712401320d4a0,2,-58,"174
",07:33.0,6
24:55.7,e2001d8712401320d4a0,2,-58,"0
",07:33.1,6
