time,activity,mean,variance,tag_id
06:40.9,3,-57,0,1
06:40.9,3,-51,0,3
06:41.0,3,-51,0,3
06:41.1,3,-51,0,3
06:41.2,3,-52,0,3
06:41.3,3,-52,0,3
06:41.4,3,-52,0,3
06:41.4,3,-52,0,3
06:41.5,3,-51,0,3
06:41.7,3,-57,0,1
06:41.7,3,-50,0,3
06:41.8,3,-57,0,1
06:41.8,3,-49,0,3
06:41.9,3,-56,0,1
06:41.9,3,-49,0,3
06:42.0,3,-47,1,3
06:42.1,3,-47,0,3
06:42.2,3,-55,0,1
06:42.2,3,-49,0,3
06:42.3,3,-55,0,1
06:42.4,3,-56,0,1
06:42.4,3,-50,0,3
06:42.5,3,-56,0,1
06:42.5,3,-49,0,3
06:42.6,3,-55,0,1
06:42.6,3,-49,0,3
06:42.7,3,-56,1,1
06:42.8,3,-57,0,1
06:42.8,3,-49,0,3
06:42.9,3,-57,3,1
06:42.9,3,-49,0,3
06:43.0,3,-49,0,3
06:43.1,3,-57,0,1
06:43.1,3,-49,0,3
06:43.2,3,-56,0,1
06:43.2,3,-58,0,1
06:43.2,3,-49,0,3
06:43.3,3,-51,0,3
06:43.5,3,-52,0,3
06:43.6,3,-57,0,1
06:43.6,3,-50,1,3
06:43.7,3,-57,0,1
06:43.7,3,-50,0,3
06:43.8,3,-57,0,1
06:43.8,3,-50,0,3
06:43.9,3,-58,0,1
06:43.9,3,-50,1,3
06:44.0,3,-51,0,3
06:44.1,3,-51,0,3
06:44.2,3,-57,0,1
06:44.3,3,-56,1,1
06:44.3,3,-51,0,3
06:44.4,3,-55,1,1
06:44.4,3,-52,0,3
06:44.5,3,-51,0,3
06:44.6,3,-55,0,1
06:44.7,3,-57,0,1
06:44.7,3,-55,1,1
06:44.7,3,-51,0,3
06:44.8,3,-55,0,1
06:44.8,3,-50,0,3
06:44.9,3,-50,0,3
06:45.0,3,-56,1,1
06:45.2,3,-57,0,1
06:45.2,3,-51,0,3
06:45.3,3,-56,0,1
06:45.3,3,-51,0,3
06:45.4,3,-51,0,3
06:45.5,3,-56,0,1
06:45.6,3,-51,1,3
06:45.7,3,-57,0,1
06:45.7,3,-54,1,1
06:45.7,3,-50,0,3
06:45.8,3,-56,1,1
06:45.8,3,-51,0,3
06:45.8,3,-50,0,3
06:45.9,3,-58,1,1
06:45.9,3,-51,0,3
06:46.0,3,-52,0,3
06:46.1,3,-52,0,3
06:46.2,3,-51,0,3
06:46.3,3,-51,0,3
06:46.4,3,-51,0,3
06:46.5,3,-51,0,3
06:46.6,3,-52,0,3
06:46.7,3,-52,0,3
06:46.8,3,-52,0,3
06:46.9,3,-57,2,1
06:46.9,3,-50,1,3
06:47.0,3,-55,0,1
06:47.0,3,-48,1,3
06:47.1,3,-55,0,1
06:47.2,3,-55,0,1
06:47.2,3,-47,1,3
06:47.3,3,-56,0,1
06:47.3,3,-49,0,3
06:47.4,3,-49,0,3
06:47.5,3,-55,1,1
06:47.6,3,-55,0,1
06:47.6,3,-49,0,3
06:47.7,3,-55,0,1
06:47.7,3,-49,0,3
06:47.8,3,-57,0,1
06:47.8,3,-47,0,3
06:47.8,3,-49,0,3
06:47.9,3,-56,0,1
06:47.9,3,-49,0,3
06:48.2,3,-57,0,1
06:48.2,3,-49,0,3
06:48.3,3,-57,0,1
06:48.3,3,-49,0,3
06:48.4,3,-57,0,1
06:48.4,3,-50,1,3
06:48.6,3,-57,0,1
06:48.6,3,-50,0,3
06:48.7,3,-57,0,1
06:48.7,3,-49,0,3
06:48.7,3,-51,0,3
06:48.8,3,-56,1,1
06:48.8,3,-58,0,1
06:48.8,3,-51,0,3
06:48.9,3,-58,0,1
06:48.9,3,-52,0,3
06:49.1,3,-53,0,3
06:49.2,3,-53,0,3
06:49.2,3,-51,1,3
06:49.3,3,-56,2,1
06:49.3,3,-55,0,1
06:49.4,3,-55,0,1
06:49.4,3,-51,0,3
06:49.5,3,-51,0,3
06:49.6,3,-55,0,1
06:49.7,3,-55,0,1
06:49.7,3,-50,0,3
06:49.8,3,-55,0,1
06:49.8,3,-50,0,3
06:49.9,3,-55,0,1
06:49.9,3,-50,0,3
06:50.0,3,-55,0,1
06:50.0,3,-50,0,3
06:50.2,3,-55,0,1
06:50.2,3,-51,0,3
06:50.3,3,-50,0,3
06:50.4,3,-55,0,1
06:50.5,3,-56,1,1
06:50.5,3,-50,0,3
06:50.6,3,-52,0,3
06:50.7,3,-58,1,1
06:50.7,3,-51,0,3
06:50.7,3,-52,0,3
06:50.8,3,-52,0,3
06:50.9,3,-52,0,3
06:51.0,3,-55,0,1
06:51.0,3,-52,0,3
06:51.2,3,-52,0,3
06:51.3,3,-52,0,3
06:51.4,3,-51,0,3
06:51.5,3,-51,0,3
06:51.6,3,-51,0,3
06:51.6,3,-51,0,3
06:51.7,3,-57,0,1
06:51.7,3,-52,0,3
06:51.7,3,-50,0,3
06:51.9,3,-56,0,1
06:51.9,3,-49,0,3
06:52.1,3,-49,0,3
06:52.2,3,-55,0,1
06:52.2,3,-56,0,1
06:52.3,3,-49,0,3
06:52.3,3,-49,0,3
06:52.4,3,-55,0,1
06:52.4,3,-49,0,3
06:52.5,3,-55,0,1
06:52.5,3,-49,0,3
06:52.6,3,-55,1,1
06:52.6,3,-49,0,3
06:52.7,3,-56,0,1
06:52.7,3,-49,0,3
