time,id,id_num,RSSI,phase,activity
11:17.1,e2001d8712401320d4a0,2,-57,"171
",5
11:17.2,e2001d8712461320db93,3,-55,"174
",5
11:17.2,e2001d8712401320d4a0,2,-57,"174
",5
11:17.2,e2001d8712461320db93,3,-55,"171
",5
11:17.2,e2001d8712401320d4a0,2,-58,"171
",5
11:17.2,e2001d8712461320db93,3,-57,"174
",5
11:17.3,e2001d8712461320db93,3,-57,"168
",5
11:17.3,e2001d8712461320db93,3,-57,"174
",5
11:17.3,e2001d8712461320db93,3,-57,"174
",5
11:17.3,e2001d8712461320db93,3,-58,"174
",5
11:17.4,e2001d8712461320db93,3,-58,"168
",5
11:17.4,e2001d8712401320d4a0,2,-57,"168
",5
11:17.4,e2001d8712461320db93,3,-58,"174
",5
11:17.4,e2001d8712401320d4a0,2,-57,"174
",5
11:17.5,e2001d8712401320d4a0,2,-57,"171
",5
11:17.5,e2001d8712401320d4a0,2,-57,"174
",5
11:17.5,e2001d8712401320d4a0,2,-57,"171
",5
11:17.6,e2001d871271320b9f,4,-59,"168
",5
11:17.6,e2001d8712401320d4a0,2,-57,"171
",5
11:17.6,e2001d8712401320d4a0,2,-58,"171
",5
11:17.6,e2001d871271320b9f,4,-57,"168
",5
11:17.7,e2001d8712401320d4a0,2,-58,"168
",5
11:17.7,e2001d871271320b9f,4,-55,"171
",5
11:17.7,e2001d871271320b9f,4,-55,"174
",5
11:17.7,e2001d8712401320d4a0,2,-55,"168
",5
11:17.7,e2001d8712461320db93,3,-55,"174
",5
11:17.8,e2001d871271320b9f,4,-55,"174
",5
11:17.8,e2001d8712461320db93,3,-57,"174
",5
11:17.8,e2001d8712461320db93,3,-58,"174
",5
11:17.8,e2001d871271320b9f,4,-53,"171
",5
11:17.9,e2001d8712401320d4a0,2,-52,"171
",5
11:17.9,e2001d871271320b9f,4,-53,"174
",5
11:17.9,e2001d8712401320d4a0,2,-53,"177
",5
11:17.9,e2001d871271320b9f,4,-55,"171
",5
11:17.9,e2001d871271320b9f,4,-55,"171
",5
11:18.0,e2001d8712401320d4a0,2,-55,"171
",5
11:18.0,e2001d8712401320d4a0,2,-55,"171
",5
11:18.0,e2001d871271320b9f,4,-55,"174
",5
11:18.3,e2001d871271320b9f,4,-55,"174
",5
11:18.1,e2001d8712401320d4a0,2,-53,"174
",5
11:18.1,e2001d871271320b9f,4,-53,"174
",5
11:18.1,e2001d8712461320db93,3,-58,"177
",5
11:18.1,e2001d8712461320db93,3,-58,"168
",5
11:18.1,e2001d871271320b9f,4,-52,"174
",5
11:18.2,e2001d871271320b9f,4,-52,"174
",5
11:18.2,e2001d8712461320db93,3,-56,"174
",5
11:18.2,e2001d8712461320db93,3,-57,"174
",5
11:18.2,e2001d8712461320db93,3,-53,"174
",5
11:18.3,e2001d871271320b9f,4,-49,"174
",5
11:18.3,e2001d8712461320db93,3,-55,"174
",5
11:18.3,e2001d871271320b9f,4,-50,"174
",5
11:18.3,e2001d8712401320d4a0,2,-49,"171
",5
11:18.4,e2001d871271320b9f,4,-49,"174
",5
11:18.4,e2001d8712461320db93,3,-53,"171
",5
11:18.0,e2001d8712401320d4a0,2,-49,"168
",5
11:18.0,e2001d8712461320db93,3,-53,"171
",5
11:18.1,e2001d8712461320db93,3,-53,"174
",5
11:18.1,e2001d8712401320d4a0,2,-49,"171
",5
11:18.1,e2001d871271320b9f,4,-49,"171
",5
11:18.1,e2001d8712401320d4a0,2,-50,"171
",5
11:18.1,e2001d871271320b9f,4,-52,"174
",5
11:18.1,e2001d8712401320d4a0,2,-50,"174
",5
11:18.1,e2001d871271320b9f,4,-51,"171
",5
11:18.1,e2001d8712461320db93,3,-55,"171
",5
11:18.1,e2001d871271320b9f,4,-53,"168
",5
11:18.1,e2001d871271320b9f,4,-53,"174
",5
11:18.1,e2001d8712401320d4a0,2,-55,"174
",5
11:18.1,e2001d871271320b9f,4,-55,"171
",5
11:18.1,e2001d8712171320c120,1,-58,"174
",5
11:19.0,e2001d871271320b9f,4,-55,"174
",5
11:19.3,e2001d8712401320d4a0,2,-52,"171
",5
11:19.1,e2001d8712461320db93,3,-55,"171
",5
11:19.1,e2001d8712401320d4a0,2,-52,"174
",5
11:19.2,e2001d8712461320db93,3,-57,"168
",5
11:19.2,e2001d8712171320c120,1,-58,"171
",5
11:19.2,e2001d8712401320d4a0,2,-51,"171
",5
11:19.2,e2001d871271320b9f,4,-58,"171
",5
11:19.3,e2001d8712401320d4a0,2,-52,"171
",5
11:19.3,e2001d8712461320db93,3,-57,"171
",5
11:19.3,e2001d8712401320d4a0,2,-52,"174
",5
11:19.3,e2001d8712461320db93,3,-57,"168
",5
11:19.4,e2001d8712401320d4a0,2,-52,"174
",5
11:19.4,e2001d8712461320db93,3,-55,"171
",5
11:19.4,e2001d8712401320d4a0,2,-52,"171
",5
11:19.4,e2001d8712461320db93,3,-55,"171
",5
11:19.4,e2001d8712461320db93,3,-55,"177
",5
11:19.5,e2001d8712401320d4a0,2,-52,"171
",5
11:19.5,e2001d8712461320db93,3,-55,"171
",5
11:19.5,e2001d8712401320d4a0,2,-52,"171
",5
11:19.5,e2001d8712401320d4a0,2,-52,"174
",5
11:19.5,e2001d8712461320db93,3,-55,"171
",5
11:19.6,e2001d8712401320d4a0,2,-52,"171
",5
11:19.6,e2001d8712461320db93,3,-55,"171
",5
11:19.7,e2001d8712401320d4a0,2,-53,"174
",5
11:19.7,e2001d8712461320db93,3,-55,"174
",5
11:19.7,e2001d8712461320db93,3,-55,"171
",5
11:19.8,e2001d8712401320d4a0,2,-52,"171
",5
11:19.8,e2001d8712461320db93,3,-55,"171
",5
11:19.8,e2001d8712461320db93,3,-55,"174
",5
11:19.8,e2001d8712171320c120,1,-57,"174
",5
11:19.9,e2001d8712401320d4a0,2,-55,"174
",5
11:19.9,e2001d8712461320db93,3,-56,"171
",5
11:19.9,e2001d8712401320d4a0,2,-55,"168
",5
11:19.9,e2001d8712461320db93,3,-55,"171
",5
11:19.9,e2001d8712401320d4a0,2,-55,"174
",5
11:20.0,e2001d8712461320db93,3,-55,"174
",5
11:20.0,e2001d8712401320d4a0,2,-55,"168
",5
11:20.0,e2001d8712461320db93,3,-55,"171
",5
11:20.2,e2001d8712461320db93,3,-58,"171
",5
11:20.3,e2001d8712401320d4a0,2,-55,"168
",5
11:20.5,e2001d8712401320d4a0,2,-55,"171
",5
11:20.7,e2001d8712461320db93,3,-57,"171
",5
11:20.8,e2001d8712401320d4a0,2,-55,"171
",5
11:20.1,e2001d8712401320d4a0,2,-53,"174
",5
11:20.2,e2001d8712401320d4a0,2,-53,"171
",5
11:20.2,e2001d8712401320d4a0,2,-53,"174
",5
11:20.2,e2001d8712401320d4a0,2,-51,"171
",5
11:20.2,e2001d871271320b9f,4,-58,"171
",5
11:20.3,e2001d8712401320d4a0,2,-51,"174
",5
11:20.3,e2001d8712401320d4a0,2,-50,"171
",5
11:20.3,e2001d8712461320db93,3,-57,"171
",5
11:20.3,e2001d8712461320db93,3,-55,"174
",5
11:20.4,e2001d8712461320db93,3,-52,"174
",5
11:20.4,e2001d8712171320c120,1,-57,"171
",5
11:20.5,e2001d8712461320db93,3,-56,"174
",5
11:20.5,e2001d8712461320db93,3,-56,"174
",5
11:20.6,e2001d8712401320d4a0,2,-52,"174
",5
11:20.6,e2001d871271320b9f,4,-55,"171
",5
11:20.6,e2001d8712461320db93,3,-57,"174
",5
11:20.7,e2001d8712171320c120,1,-58,"174
",5
11:20.7,e2001d8712401320d4a0,2,-52,"168
",5
11:20.8,e2001d8712401320d4a0,2,-51,"174
",5
11:20.8,e2001d871271320b9f,4,-52,"171
",5
11:20.8,e2001d8712171320c120,1,-55,"174
",5
11:20.9,e2001d8712401320d4a0,2,-51,"174
",5
11:21.0,e2001d8712401320d4a0,2,-52,"174
",5
11:21.2,e2001d8712401320d4a0,2,-52,"171
",5
11:21.3,e2001d871271320b9f,4,-51,"174
",5
11:21.5,e2001d8712401320d4a0,2,-52,"174
",5
11:21.7,e2001d871271320b9f,4,-51,"174
",5
11:21.1,e2001d871271320b9f,4,-51,"174
",5
11:21.1,e2001d8712401320d4a0,2,-52,"171
",5
11:21.1,e2001d8712401320d4a0,2,-51,"174
",5
11:21.2,e2001d871271320b9f,4,-52,"168
",5
11:21.2,e2001d8712401320d4a0,2,-51,"171
",5
11:21.2,e2001d871271320b9f,4,-52,"174
",5
11:21.3,e2001d8712401320d4a0,2,-50,"174
",5
