time,id,RSSI,phase,,,
05:03.9,e2001d8712401320d4a0,-52,"174
",,,
05:03.9,e2001d871271320b9f,-53,"174
",,,
05:04.3,e2001d8712461320db93,-49,"174
",,,
05:04.3,e2001d8712461320db93,-49,"174
",,,
05:04.3,e2001d8712401320d4a0,-51,"171
",,,
05:04.4,e2001d8712461320db93,-49,"174
",,,
05:04.5,e2001d8712171320c120,-53,"174
",,,
05:04.5,e2001d8712171320c120,-53,"174
",,,
05:04.5,e2001d8712461320db93,-49,"171
",,,
05:04.6,e2001d8712171320c120,-53,"168
",,,
05:04.6,e2001d8712401320d4a0,-51,"174
",,,
05:04.7,e2001d8712401320d4a0,-51,"174
",,,
05:04.7,e2001d8712461320db93,-50,"171
",,,
05:05.1,e2001d8712461320db93,-51,"174
",,,
05:05.1,e2001d871271320b9f,-55,"171
",,,
05:05.2,e2001d8712461320db93,-49,"174
",,,
05:05.2,e2001d8712461320db93,-50,"171
",,,
05:05.3,e2001d8712171320c120,-53,"174
",,,
05:05.3,e2001d8712171320c120,-53,"174
",,,
05:05.4,e2001d871271320b9f,-55,"171
",,,
05:05.4,e2001d8712401320d4a0,-53,"171
",,,
05:05.4,e2001d8712401320d4a0,-53,"171
",,,
05:05.5,e2001d8712461320db93,-50,"171
",,,
05:05.5,e2001d8712461320db93,-50,"171
",,,
05:05.9,e2001d8712461320db93,-51,"168
",,,
05:06.0,e2001d8712461320db93,-51,"168
",,,
05:06.0,e2001d8712401320d4a0,-55,"171
",,,
05:06.2,e2001d871271320b9f,-55,"174
",,,
05:06.2,e2001d8712461320db93,-51,"174
",,,
05:06.2,e2001d8712461320db93,-51,"174
",,,
05:06.2,e2001d8712171320c120,-55,"171
",,,
05:06.8,e2001d8712461320db93,-51,"171
",,,
05:06.9,e2001d8712401320d4a0,-55,"174
",,,
05:08.4,e2001d8712401320d4a0,-53,"168
",,,
05:08.4,e2001d8712401320d4a0,-53,"168
",,,
05:08.4,e2001d8712171320c120,-55,"171
",,,
05:08.5,e2001d871271320b9f,-55,"168
",,,
05:08.5,e2001d871271320b9f,-55,"168
",,,
05:08.5,e2001d871271320b9f,-55,"168
",,,
05:08.5,e2001d8712461320db93,-51,"174
",,,
05:08.7,e2001d8712461320db93,-50,"168
",,,
05:08.7,e2001d8712461320db93,-50,"168
",,,
05:08.7,e2001d871271320b9f,-52,"174
",,,
05:08.8,e2001d8712171320c120,-53,"171
",,,
05:08.8,e2001d8712461320db93,-49,"174
",,,
05:08.8,e2001d8712171320c120,-53,"171
",,,
05:08.8,e2001d8712401320d4a0,-53,"168
",,,
05:10.0,e2001d8712171320c120,-55,"171
",,,
05:10.0,e2001d8712171320c120,-55,"171
",,,
05:09.1,e2001d871271320b9f,-52,"174
",,,
05:09.1,e2001d871271320b9f,-52,"174
",,,
05:09.8,e2001d8712401320d4a0,-55,"171
",,,
05:09.8,e2001d8712461320db93,-51,"171
",,,
05:10.5,e2001d8712401320d4a0,-53,"171
",,,
05:10.5,e2001d8712461320db93,-50,"174
",,,
05:11.3,e2001d8712401320d4a0,-55,"174
",,,
05:11.3,e2001d8712401320d4a0,-55,"174
",,,
05:11.3,e2001d8712461320db93,-51,"171
",,,
05:11.4,e2001d8712171320c120,-55,"171
",,,
05:11.4,e2001d8712171320c120,-55,"171
",,,
05:11.4,e2001d8712461320db93,-51,"174
",,,
05:11.5,e2001d871271320b9f,-57,"174
",,,
05:11.5,e2001d871271320b9f,-57,"174
",,,
05:11.5,e2001d8712401320d4a0,-57,"171
",,,
05:12.3,e2001d8712401320d4a0,-53,"174
",,,
05:12.3,e2001d8712401320d4a0,-53,"174
",,,
05:12.3,e2001d871271320b9f,-55,"171
",,,
05:12.7,e2001d871271320b9f,-53,"171
",,,
05:12.8,e2001d8712401320d4a0,-52,"174
",,,
05:12.8,e2001d8712461320db93,-50,"174
",,,
05:12.8,e2001d871271320b9f,-55,"171
",,,
05:12.8,e2001d8712171320c120,-55,"174
",,,
05:12.8,e2001d8712171320c120,-55,"174
",,,
05:12.9,e2001d871271320b9f,-53,"171
",,,
05:13.8,e2001d8712461320db93,-50,"171
",,,
05:13.8,e2001d8712461320db93,-50,"171
",,,
