, ,RSSI,Unnamed: 0,activity,id,phase,run,time
511,,-56,559,7,1,171,3,16 46 32 64679
512,,-57,560,7,2,177,3,16 46 32 64696
513,,-57,561,7,1,177,3,16 46 32 64712
514,,-57,562,7,1,174,3,16 46 32 64746
515,,-55,563,7,1,171,3,16 46 32 64796
516,,-55,564,7,1,171,3,16 46 32 64829
517,,-55,565,7,1,174,3,16 46 32 64879
518,,-53,566,7,1,174,3,16 46 32 64912
519,,-58,567,7,2,174,3,16 46 32 64979
520,,-55,568,7,1,171,3,16 46 32 64995
521,,-55,569,7,1,174,3,16 46 32 65029
522,,-55,570,7,1,171,3,16 46 32 65062
523,,-55,571,7,1,174,3,16 46 32 65094
524,,-55,572,7,1,171,3,16 46 32 65129
525,,-59,573,7,2,163,3,16 46 32 65162
526,,-58,574,7,2,171,3,16 46 32 65195
527,,-55,575,7,1,171,3,16 46 32 65212
528,,-55,576,7,1,174,3,16 46 32 65228
529,,-55,577,7,1,174,3,16 46 32 65262
530,,-55,578,7,1,174,3,16 46 32 65329
531,,-55,579,7,1,171,3,16 46 32 65379
532,,-55,580,7,1,174,3,16 46 32 65428
533,,-56,581,7,1,171,3,16 46 32 65479
534,,-59,582,7,2,171,3,16 46 32 65563
535,,-55,583,7,1,171,3,16 46 32 65579
536,,-55,584,7,2,174,3,16 46 33 65629
537,,-55,585,7,1,168,3,16 46 33 65645
538,,-55,586,7,1,171,3,16 46 33 65662
539,,-55,587,7,2,168,3,16 46 33 65679
540,,-55,588,7,1,174,3,16 46 33 65712
541,,-55,589,7,2,171,3,16 46 33 65729
542,,-55,590,7,1,171,3,16 46 33 65745
543,,-55,591,7,2,174,3,16 46 33 65762
544,,-55,592,7,1,165,3,16 46 33 65779
545,,-55,593,7,2,174,3,16 46 33 65795
546,,-55,594,7,1,171,3,16 46 33 65811
547,,-55,595,7,2,171,3,16 46 33 65829
548,,-55,596,7,2,174,3,16 46 33 65862
549,,-55,597,7,1,174,3,16 46 33 65879
550,,-55,598,7,1,174,3,16 46 33 65912
551,,-57,599,7,2,168,3,16 46 33 65929
552,,-55,600,7,2,171,3,16 46 33 65979
553,,-55,601,7,1,168,3,16 46 33 65996
