,run,activity,time,id,RSSI,phase
56,0,4,16 31 40 33049,3,-55,174
57,0,4,16 31 40 33066,1,-52,174
58,0,4,16 31 40 33082,3,-55,168
59,0,4,16 31 40 33099,1,-51,168
60,0,4,16 31 40 33132,1,-52,174
61,0,4,16 31 40 33149,3,-55,174
62,0,4,16 31 40 33165,1,-52,174
63,0,4,16 31 40 33182,3,-53,174
64,0,4,16 31 40 33198,1,-52,174
65,0,4,16 31 40 33215,3,-55,171
66,0,4,16 31 40 33215,3,-55,171
67,0,4,16 31 40 33215,3,-55,171
68,0,4,16 31 40 33265,3,-55,171
69,0,4,16 31 40 33282,1,-52,174
70,0,4,16 31 40 33299,3,-55,171
71,0,4,16 31 40 33314,1,-52,171
72,0,4,16 31 40 33332,3,-55,174
73,0,4,16 31 40 33349,1,-51,174
74,0,4,16 31 40 33365,1,-52,174
75,0,4,16 31 40 33381,3,-55,171
76,0,4,16 31 40 33399,1,-52,174
77,0,4,16 31 40 33415,3,-55,174
78,0,4,16 31 40 33432,1,-55,171
79,0,4,16 31 40 33448,3,-55,171
80,0,4,16 31 40 33465,1,-55,174
81,0,4,16 31 40 33481,3,-55,168
82,0,4,16 31 40 33514,1,-53,174
83,0,4,16 31 40 33532,3,-53,168
84,0,4,16 31 40 33549,3,-55,171
85,0,4,16 31 40 33565,1,-55,174
86,0,4,16 31 40 33599,3,-55,171
87,0,4,16 31 40 33615,1,-53,174
88,0,4,16 31 40 33632,1,-55,174
89,0,4,16 31 40 33649,3,-53,174
90,0,4,16 31 40 33682,3,-55,174
91,0,4,16 31 41 33698,1,-55,171
92,0,4,16 31 41 33698,1,-55,171
93,0,4,16 31 41 33731,3,-55,171
94,0,4,16 31 41 33749,1,-53,171
95,0,4,16 31 41 33768,3,-55,171
96,0,4,16 31 41 33781,1,-53,174
97,0,4,16 31 41 33799,3,-55,174
98,0,4,16 31 41 33815,1,-53,174
99,0,4,16 31 41 33815,1,-53,174
100,0,4,16 31 41 33848,1,-55,174
101,0,4,16 31 41 33865,3,-55,174
102,0,4,16 31 41 33881,3,-55,168
103,0,4,16 31 41 33899,1,-53,171
104,0,4,16 31 41 33899,1,-53,171
105,0,4,16 31 41 33932,1,-53,174
106,0,4,16 31 41 33947,3,-55,171
0,0,5,16 31 43 35782,1,-56,174
1,0,5,16 31 43 35782,1,-56,174
2,0,5,16 31 43 35816,3,-58,174
3,0,5,16 31 43 35816,3,-58,174
4,0,5,16 31 43 35816,3,-58,174
5,0,5,16 31 43 35865,1,-57,171
6,0,5,16 31 43 35865,1,-57,171
7,0,5,16 31 43 35898,3,-58,171
8,0,5,16 31 43 35915,1,-56,168
9,0,5,16 31 43 35915,1,-56,168
10,0,5,16 31 43 35948,3,-58,171
11,0,5,16 31 43 35948,3,-58,171
12,0,5,16 31 43 35982,1,-55,171
13,0,5,16 31 43 35999,3,-57,168
14,0,5,16 31 43 35999,3,-57,168
15,0,5,16 31 43 36032,1,-58,171
16,0,5,16 31 43 36032,1,-58,171
17,0,5,16 31 43 36032,1,-58,171
18,0,5,16 31 43 36082,3,-57,174
19,0,5,16 31 43 36082,3,-57,174
20,0,5,16 31 43 36115,1,-58,171
21,0,5,16 31 43 36132,3,-57,171
22,0,5,16 31 43 36132,3,-57,171
23,0,5,16 31 43 36165,3,-58,174
