, ,RSSI,Unnamed: 0,activity,id,phase,run,time
1095,,-49,1143,2,1,171,4,16 47 34 27261
1096,,-55,1144,2,3,171,4,16 47 34 27277
1097,,-49,1145,2,1,171,4,16 47 34 27326
1098,,-55,1146,2,3,171,4,16 47 34 27342
1219,,-53,1342,4,1,174,4,16 47 47 40328
1220,,-53,1343,4,3,171,4,16 47 47 40344
1221,,-53,1344,4,1,174,4,16 47 47 40360
1222,,-53,1345,4,1,171,4,16 47 47 40378
1223,,-52,1346,4,3,174,4,16 47 47 40394
1224,,-55,1347,4,3,174,4,16 47 47 40410
1225,,-52,1348,4,1,168,4,16 47 47 40427
1226,,-53,1349,4,1,171,4,16 47 47 40444
1227,,-55,1350,4,3,168,4,16 47 47 40460
1228,,-53,1351,4,1,174,4,16 47 47 40510
1229,,-55,1352,4,3,171,4,16 47 47 40527
1230,,-55,1353,4,3,174,4,16 47 48 40561
1231,,-52,1354,4,1,174,4,16 47 48 40577
1232,,-55,1355,4,3,174,4,16 47 48 40611
1233,,-55,1356,4,1,168,4,16 47 48 40644
1234,,-56,1357,4,3,171,4,16 47 48 40661
1235,,-55,1358,4,1,174,4,16 47 48 40677
1236,,-56,1359,4,3,174,4,16 47 48 40694
1237,,-57,1360,4,3,174,4,16 47 48 40727
1238,,-55,1361,4,1,171,4,16 47 48 40744
1239,,-58,1362,4,3,177,4,16 47 48 40761
1240,,-55,1363,4,1,168,4,16 47 48 40778
1241,,-55,1364,4,1,174,4,16 47 48 40794
1242,,-57,1365,4,3,171,4,16 47 48 40811
1243,,-58,1366,4,3,174,4,16 47 48 40845
1244,,-55,1367,4,1,174,4,16 47 48 40861
1245,,-55,1368,4,1,174,4,16 47 48 40877
1246,,-55,1369,4,1,174,4,16 47 48 40911
1247,,-53,1370,4,1,171,4,16 47 48 40928
1248,,-53,1371,4,1,171,4,16 47 48 40961
1249,,-53,1372,4,1,171,4,16 47 48 40994
1250,,-53,1373,4,1,174,4,16 47 48 41027
1251,,-53,1374,4,1,174,4,16 47 48 41061
1252,,-53,1375,4,1,174,4,16 47 48 41078
1253,,-53,1376,4,1,171,4,16 47 48 41127
1254,,-53,1377,4,1,171,4,16 47 48 41144
1255,,-52,1378,4,1,171,4,16 47 48 41178
1256,,-52,1379,4,1,174,4,16 47 48 41211
1257,,-53,1380,4,1,171,4,16 47 48 41244
1258,,-53,1381,4,1,174,4,16 47 48 41277
1259,,-53,1382,4,1,171,4,16 47 48 41311
1260,,-55,1383,4,1,168,4,16 47 48 41344
1261,,-53,1384,4,1,174,4,16 47 48 41377
1262,,-53,1385,4,1,174,4,16 47 48 41411
1263,,-53,1386,4,1,174,4,16 47 48 41444
1264,,-55,1387,4,1,174,4,16 47 48 41477
1265,,-55,1388,4,1,171,4,16 47 48 41511
1266,,-55,1389,4,1,174,4,16 47 48 41544
1267,,-55,1390,4,1,171,4,16 47 49 41561
1268,,-57,1391,4,1,174,4,16 47 49 41577
1269,,-57,1392,4,1,168,4,16 47 49 41610
1270,,-57,1393,4,1,174,4,16 47 49 41645
1271,,-57,1394,4,1,174,4,16 47 49 41678
1272,,-59,1395,4,3,171,4,16 47 49 41727
1273,,-57,1396,4,1,174,4,16 47 49 41760
1274,,-58,1397,4,3,174,4,16 47 49 41810
1275,,-58,1398,4,1,174,4,16 47 49 41827
1276,,-58,1399,4,1,171,4,16 47 49 41860
1277,,-58,1400,4,3,171,4,16 47 49 41877
1278,,-56,1401,4,1,174,4,16 47 49 41928
1279,,-57,1402,4,1,171,4,16 47 49 41961
1280,,-57,1403,4,1,171,4,16 47 49 42011
1281,,-57,1404,4,1,171,4,16 47 49 42044
1282,,-59,1405,4,3,171,4,16 47 49 42061
1283,,-56,1406,4,1,174,4,16 47 49 42111
1284,,-57,1407,4,1,174,4,16 47 49 42144
1285,,-58,1408,4,3,174,4,16 47 49 42277
1286,,-58,1409,4,3,171,4,16 47 49 42344
1287,,-58,1410,4,3,171,4,16 47 49 42360
1444,,-53,1567,7,3,171,4,16 48 1 54011
1445,,-53,1568,7,3,174,4,16 48 1 54061
1446,,-51,1569,7,1,174,4,16 48 1 54078
1447,,-52,1570,7,1,171,4,16 48 1 54111
1448,,-52,1571,7,3,174,4,16 48 1 54144
1449,,-51,1572,7,1,174,4,16 48 1 54161
1450,,-52,1573,7,3,171,4,16 48 1 54177
1451,,-53,1574,7,3,171,4,16 48 1 54193
1452,,-51,1575,7,1,174,4,16 48 1 54210
1453,,-53,1576,7,3,174,4,16 48 1 54262
1454,,-51,1577,7,1,171,4,16 48 1 54278
1455,,-55,1578,7,3,171,4,16 48 1 54294
1456,,-51,1579,7,1,168,4,16 48 1 54310
1457,,-55,1580,7,3,174,4,16 48 1 54345
1458,,-51,1581,7,1,174,4,16 48 1 54361
1459,,-55,1582,7,3,174,4,16 48 1 54378
1460,,-50,1583,7,1,171,4,16 48 1 54395
1461,,-56,1584,7,3,171,4,16 48 1 54428
1462,,-50,1585,7,1,174,4,16 48 1 54444
1463,,-53,1586,7,1,171,4,16 48 1 54461
1464,,-55,1587,7,3,171,4,16 48 1 54478
1465,,-53,1588,7,1,171,4,16 48 1 54494
1466,,-55,1589,7,3,174,4,16 48 1 54511
1467,,-53,1590,7,1,174,4,16 48 1 54544
1468,,-55,1591,7,3,174,4,16 48 2 54561
1469,,-57,1592,7,3,171,4,16 48 2 54578
1470,,-53,1593,7,1,171,4,16 48 2 54594
1471,,-55,1594,7,1,171,4,16 48 2 54611
1472,,-58,1595,7,3,171,4,16 48 2 54644
1473,,-55,1596,7,1,171,4,16 48 2 54678
1474,,-58,1597,7,3,174,4,16 48 2 54694
1475,,-58,1598,7,1,174,4,16 48 2 54728
1476,,-58,1599,7,2,174,4,16 48 2 54744
1477,,-56,1600,7,1,171,4,16 48 2 54811
1478,,-55,1601,7,2,174,4,16 48 2 54828
1479,,-56,1602,7,1,171,4,16 48 2 54844
1480,,-55,1603,7,2,174,4,16 48 2 54861
1481,,-55,1604,7,2,174,4,16 48 2 54878
1482,,-56,1605,7,1,171,4,16 48 2 54894
1483,,-56,1606,7,1,171,4,16 48 2 54927
1484,,-55,1607,7,2,168,4,16 48 2 54944
1485,,-56,1608,7,1,171,4,16 48 2 54977
1486,,-55,1609,7,2,174,4,16 48 2 54994
1487,,-55,1610,7,2,171,4,16 48 2 55011
